Id;Nom;Orientation;Alpi;Ski;Deniv.plus;Depart.id;Depart.altitude;Sommet.id;Sommet.nom;Sommet.longitude;Sommet.latitude;Sommet.altitude;M01;M02;M03;M04;M05;M06;M07;M08;M09;M10;M11;M12;S1999-2000;S2000-2001;S2001-2002;S2002-2003;S2003-2004;S2004-2005;S2005-2006;S2006-2007;S2007-2008;S2008-2009;S2009-2010;S2010-2011;S2011-2012;S2012-2013;S2013-2014;S2014-2015;S2015-2016;S2016-2017;S2017-2018;S2018-2019;S2019-2020;S2020-2021
3562;col-des-encombres;S;R;1.3;1050;783;1325;2709;Col des Encombres;6,47884;45,2923;2325;8;4;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;4;1;0;2;2;0;1
3882;pointe-des-volnets;NE;PD+;4.3;1800;310;1475;2905;Pointe des Volnets;6,77659;45,4164;3247;1;3;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;1;4;4;0;1
3975;col-de-labby;T;F;3.1;1778;46;1530;575;Col de Labby;6,7356;45,2945;3324;3;1;0;9;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;0;1;0;1;0;3;3;0;1;3;0;0
4099;mont-pourri;T;AD;4.1;3800;364;1610;394;Mont Pourri;6,8602;45,5281;3779;2;0;4;21;58;52;2;0;0;0;1;2;0;0;0;0;2;5;7;11;8;13;11;5;11;11;6;10;8;8;11;4;11;0
4113;roche-nue;N;PD+;4.2;1350;1148;1722;3036;Roche Nue;6,67259;45,3335;2981;1;2;3;4;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;1;0;2;1;0;0;4;3;1;1;0;0
4121;pointe-du-grand-vallon;N;R;2.2;1300;1799;1862;1100;Pointe du Grand Vallon;6,8709;45,3208;3136;1;1;2;6;2;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;3;1;0;0;1;0;2;1;4;0;1;0
4130;dent-parrachee;N;D-;5.3;2500;46;1530;492;Dent Parrachée;6,75611;45,2889;3697;9;11;18;31;25;6;0;0;0;0;1;3;0;0;0;0;0;2;5;6;7;21;5;9;8;9;6;0;10;3;2;4;5;2
4216;pointe-du-chardonnet;SE;F;2.1;780;1285;2120;3112;Pointe du Chardonnet;6,87055;45,4635;2870;0;1;1;1;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;1;0;0;1;2;1
4373;col-de-la-bauche-de-mio;SE;R;2.2;1050;310;1475;3230;Col de la Bauche de Mio;6,72209;45,4811;2502;6;5;2;2;2;0;0;0;0;1;3;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;16;1;7;1;0;0;0;1
4455;mont-de-la-guerre;SE;R;1.3;1050;1982;1240;3296;Mont de la Guerre;6,67419;45,4737;2293;3;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;2;2;1
4527;roc-du-mone;N;F;3.3;1900;1148;1722;3341;Roc du Mône;6,68133;45,3487;2759;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
4583;col-de-pierre-blanche;NE;R;2.1;950;790;1723;3379;Col de Pierre Blanche;6,5116;45,2688;2636;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
4605;rochers-rouges;N;PD;4.1;1447;355;1556;3394;Rochers Rouges;6,86954;45,4808;3003;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
4670;dome-de-polset;T;F;2.3;3420;1148;1722;386;Dôme de Polset;6,63958;45,2765;3497;4;8;14;34;79;49;7;1;4;13;22;8;0;0;0;0;2;0;4;15;16;16;17;30;18;21;23;22;14;17;12;6;6;4
